,importance
Sales_lag_1,0.5938057
Sales_roll_mean_4,0.24558291
IsThanksgiving,0.02572246
WeekOfYear,0.018193103
Sales_lag_52,0.017207447
Sales_lag_4,0.012966557
Year,0.011171738
Sales_roll_std_4,0.008983237
has_markdown_signal,0.007904855
Week_sin,0.0063087656
IsSuperBowl,0.0061325384
Dept,0.005828629
Month,0.0056841155
markdown_missing_count,0.005056404
total_markdown,0.004079238
Size,0.0039297957
Sales_roll_mean_12,0.003643537
Type_encoded,0.0031275137
Unemployment,0.0027047254
Fuel_Price,0.002667456
Week_cos,0.002606018
Store,0.002448543
Temperature,0.0015882401
CPI,0.0015089116
IsLaborDay,0.0010379957
negative_markdown_sum,0.000109612134
IsChristmas,0.0
abs_total_markdown,0.0
positive_markdown_sum,0.0
markdown_available_period,0.0
