,importance
Sales_lag_52,1038
Sales_roll_std_4,999
Sales_lag_1,942
Dept,848
WeekOfYear,639
Sales_lag_4,525
Sales_roll_mean_4,464
Sales_roll_mean_12,417
Fuel_Price,366
Week_sin,279
IsThanksgiving,258
Temperature,250
MarkDown3_raw,235
Size,225
Week_cos,223
Store,202
Unemployment,201
CPI,199
Month,133
MarkDown2_raw,104
MarkDown4_raw,93
MarkDown1_raw,92
MarkDown5_raw,80
Year,47
IsSuperBowl,29
Type_encoded,19
IsLaborDay,14
markdown_missing_count,2
has_markdown_signal,0
markdown_available_period,0
IsChristmas,0
